Word,Count
the,95
is,29
of,17
this,17
item,17
in,16
we,15
container,15
IF,15
and,14
to,12
ammount,12
slot,12
for,12
with,11
then,11
drag,10
mouse,10
Use,8
initialization,8
once,8
items,7
on,7
clicked,7
frame,7
if,6
tile,6
called,6
Else,6
or,6
per,6
Update,6
a,5
inventory,5
from,5
button,5
there,5
are,5
wheel,5
right,5
it,5
player,4
that,4
list,4
only,4
The,4
tiles,4
being,4
not,4
no,3
will,3
have,3
them,3
based,3
machine,3
Initialize,3
going,3
initialize,3
chunk,3
chunks,3
add,3
open,3
slots,3
control,3
equal,3
execute,3
mesh,3
decrease,2
interact,2
ELSE,2
has,2
Make,2
specify,2
This,2
Generate,2
use,2
take,2
texture,2
transfer,2
between,2
used,2
its,2
1,2
you,2
different,2
build,2
can,2
X,2
some,2
movement,2
generated,2
coordinates,2
new,2
around,2
coroutine,2
array,2
Get,2
value,2
shift,2
cursor,2
just,2
function,2
know,2
If,2
Player,2
create,2
Inventory,2
left,2
currently,2
ones,2
Iterate,2
5,1
point,1
form,1
map,1
as,1
ok,1
mouseWheelValue,1
etc.),1
%,1
current,1
when,1
inspector,1
one,1
decrease/increase,1
interaction,1
visible,1
any,1
increase/decrease,1
drop,1
variables,1
reached,1
default,1
prefabs,1
directly,1
get,1
already,1
values,1
middle,1
settings,1
containing,1
filtered,1
into,1
sort,1
fill,1
FIRST,1
buttons,1
be,1
both,1
material,1
need,1
0;,1
:,1
increase,1
currentAmmount,1
textures,1
wrong,1
building,1
\inventory,\,1
full,1
swap,1
\(hotbar-inventory,\,1
texures,1
Only,1
dimention,1
triangles,1
keys,1
inventories,1
terrain,1
Iron,1
\dragged,\,1
_fieldOfView,1
Disable,1
<,1
since,1
something,1
collider,1
I,1
perlin,1
half,1
null,1
return,1
range,1
clearly,1
stacks,1
\inventory-ore_gatherer_inventory,\,1
every,1
goes,1
\slot,\,1
held..,1
Create,1
exit,1
Movement,1
again,1
id,1
hotbar,1
so,1
see,1
models,1
ore,1
gathering,1
guideline,1
finished,1
destroyed,1
>,1
by,1
Stores,1
without,1
cannot,1
layer,1
biome,1
held,1
do,1
been,1
iron,1
Drops,1
result,1
transferring,1
loop,1
finish,1
all,1
verticies,1
controlling,1
\item,\,1
whether,1
Resource,1
remaining,1
0,1
sheet,1
check,1
escape,1
more,1
water,1
file,1
incomplete,1
Terrain,1
btn,1
filteredTiles,1
+=,1
local,1
10,1
variable,1
maps,1
Select,1
SECOND,1
GlobalVariables.MAX_STACK_AMMOUNT,1
finding,1
data,1
Bool,1
Executed,1
dragged,1
possible,1
sprite,1
allowed,1
number,1
distance,1
first,1
,1
